zip,state,city,test,lat,lng
35004,AL,Acmar,0,33.584132,-86.51557
35005,AL,Adamsville,1,33.588437,-86.959727
35006,AL,Adger,2,33.434277,-87.167455
35007,AL,Keystone,3,33.236868,-86.812861
35010,AL,New Site,4,32.941445,-85.951086
35014,AL,Alpine,5,33.331165,-86.208934
35016,AL,Arab,6,34.328339,-86.489638
35019,AL,Baileyton,7,34.268298,-86.621299
35020,AL,Bessemer,8,33.409002,-86.947547
35023,AL,Hueytown,9,33.414625,-86.999607
35031,AL,Blountsville,10,34.092937,-86.568628
35033,AL,Bremen,11,33.973664,-87.004281
35034,AL,Brent,12,32.93567,-87.211387
35035,AL,Brierfield,13,33.042747,-86.951672
35040,AL,Calera,14,33.1098,-86.755987
35042,AL,Centreville,15,32.950324,-87.11924
35043,AL,Chelsea,16,33.371582,-86.614132
35044,AL,Coosa Pines,17,33.266928,-86.337622
35045,AL,Clanton,18,32.835532,-86.642472
35049,AL,Cleveland,19,33.992106,-86.559355
35051,AL,Columbiana,20,33.176964,-86.616145
35053,AL,Crane Hill,21,34.082117,-87.048395
35054,AL,Cropwell,22,33.506448,-86.280026
35055,AL,Cullman,23,34.176146,-86.829777
35061,AL,Dolomite,24,33.465424,-86.956435
35062,AL,Dora,25,33.734947,-87.040148
35063,AL,Empire,26,33.825589,-87.016139
35064,AL,Fairfield,27,33.473494,-86.918262
35068,AL,Coalburg,28,33.611283,-86.813614
35071,AL,Gardendale,29,33.71891,-86.822481
35072,AL,Goodwater,30,33.074642,-86.078149
35073,AL,Alden,31,33.63356,-86.948221
35077,AL,Hanceville,32,34.051569,-86.784844
35078,AL,Harpersville,33,33.36746,-86.429441
35079,AL,Hayden,34,33.885806,-86.81767
35080,AL,Helena,35,33.316978,-86.813786
35083,AL,Holly Pond,36,34.190085,-86.617441
35085,AL,Jemison,37,32.980539,-86.718052
35087,AL,Joppa,38,34.283739,-86.551939
35089,AL,Kellyton,39,32.979068,-86.048397
35091,AL,Kimberly,40,33.768355,-86.808417
35094,AL,Leeds,41,33.528333,-86.574824
35096,AL,Lincoln,42,33.605913,-86.111152
35098,AL,Logan,43,34.184079,-87.038115
35111,AL,Mc Calla,44,33.284546,-87.102379
35114,AL,Maylene,45,33.231694,-86.872745
35115,AL,Montevallo,46,33.124765,-86.862228
35116,AL,Morris,47,33.739172,-86.772551
35117,AL,Mount Olive,48,33.67678,-86.87171
35118,AL,Sylvan Springs,49,33.540696,-87.043998
35120,AL,Odenville,50,33.675611,-86.408952
